origin,vol_cbm,weight_ton,partner_longitude,partner_latitude,kecamatan
SO360932,0.359632,0.039871000000000004,106.7078151,-6.3176901,CIPUTAT
SO360919,0.06837788,0.04324,106.6660742,-6.1525894,BENDA
SO360914,0.123864,0.02189,106.8309771,-6.41174,SUKMAJAYA
SO360910,0.17543875,0.079776,106.7303699,-6.2945109,CIPUTAT
SO360907,0.154225085,0.0993955,106.7523477,-6.1951399,KEMBANGAN
SO360905,0.025688,0.00035999999999999997,106.6123696,-6.1976511,KARAWACI
SO360904,0.0501382,0.018364000000000002,106.6223653,-6.2341684,KELAPA DUA
SO360901,1.142892,0.229,106.7932426,-6.3806581,LIMO
SO360893,0.160208675,0.118394,106.7304965,-6.2586222,PONDOK AREN
SO360890,0.179816,0.025254000000000002,106.6662099,-6.1368315,BENDA
SO360882,0.18771026,0.0712,106.7668407,-6.2025152,KEBON JERUK
SO360880,0.04446015,0.034,106.6804976,-6.1504433,BENDA
SO360878,0.0889812,0.0528,106.87272,-6.42479,TAPOS
SO360868,0.058805,0.017063,106.5299563,-6.1727034,PASARKEMIS
SO360864,0.13401625,0.049136000000000006,106.6541111,-6.1526126,BATUCEPER
SO360861,0.22335181,0.065816999999999987,106.625868,-6.2904571,PAGEDANGAN
SO360860,0.063673747,0.01973,106.8091728,-6.5201295,CIBINONG
SO360855,0.0416662,0.017628,106.5881987,-6.185509,CIBODAS
SO360848,0.27105005,0.11233,106.7197472,-6.3965585,GUNUNG SINDUR
SO360846,0.13074725,0.019603000000000002,106.6494836,-6.0666716,TELUKNAGA
SO360839,0.025688,0.00023999999999999998,106.7858757,-6.4500761,BOJONG GEDE
SO360824,0.5282295,0.3068,106.8503323,-6.314782,JAGAKARSA
SO360819,0.219152585,0.0152348,106.7010545,-6.2352626,CILEDUG
SO360816,0.278208,0.0192,106.81207,-6.38218,BEJI
SO360810,0.11589456,0.039327,106.7191609,-6.1731399,CENGKARENG
SO360809,0.2443345,0.038700000000000005,106.70912,-6.32457,PAMULANG
SO360790,0.908287568,0.16260400000000003,106.7247352,-6.153436,CENGKARENG
SO360803,0.06026803,0.050012,106.6992122,-6.3906917,GUNUNG SINDUR
SO360788,0.025688,0.009614000000000001,106.5338801,-6.1686422,PASARKEMIS
SO360783,0.04551536,0.019602,106.7882515,-6.5173641,TANAH SAREAL
SO360777,0.0556445,0.025685,106.6207079,-6.1246704,NEGLASARI
SO360769,0.11695256,0.020573,106.6951695,-6.5606911,CIAMPEA
SO360762,0.077064,0.012655,106.6037499,-6.183445,CIBODAS
SO360751,0.1422331,0.0389,106.743263,-6.231323,LARANGAN
SO360743,0.025688,0.003593,106.6122738,-6.1899584,KARAWACI
SO360739,0.547328,0.03642,106.5858175,-6.2481174,CURUG
SO360734,0.025688,0.0017,106.826545,-6.389533,BEJI
SO360730,0.21615336,0.0748563,106.5989457,-6.1678694,PERIUK
SO360720,1.771285113,0.48128930000000003,106.838652,-6.1636582,KEMAYORAN
SO360723,0.025688,0.002004,106.75103,-6.31982,CIPUTAT TIMUR
SO360717,0.127118,0.011810000000000001,106.730791,-6.301114,CIPUTAT TIMUR
SO360711,0.269642257,0.130448,106.8082072,-6.463617,BOJONG GEDE
SO360707,0.32346887,0.186628,106.5574863,-6.2548453,CURUG
SO360695,0.4347,0.03,106.7898765,-6.3732119,CINERE
SO360675,0.58063957,0.085130799999999993,106.5471852,-6.2505451,CURUG
SO360670,0.089185,0.01634,106.5886942,-6.2874809,LEGOK
SO360668,0.0574365,0.011579,106.686024,-6.234653,PONDOK AREN
SO360649,0.243967655,0.036184,106.780219,-6.4343995,SAWANGAN
SO360642,0.0556445,0.026061,106.5256729,-6.1838055,PASARKEMIS
SO360635,0.05052892,0.018936,106.702367,-6.1776938,CENGKARENG
SO360626,0.025688,0.0037240000000000003,106.7355088,-6.3097772,PAMULANG
SO360607,0.025688,0.00031,106.83676,-6.266665,PASAR MINGGU
SO360599,0.07151875,0.028064,106.6962423,-6.387608,GUNUNG SINDUR
SO360591,0.255021241,0.143,106.7649544,-6.2596871,PESANGGRAHAN
SO360589,0.37433096,0.119504,106.7060589,-6.2205558,KARANG TENGAH
SO360588,0.09524,0.011476,106.68482,-6.23388,PONDOK AREN
SO360581,0.02392,0.0132,106.5997493,-6.286123,PAGEDANGAN
SO360578,0.04762275,0.0096,106.643294,-6.3288403,CISAUK
SO360569,0.058901,0.008234,106.718043,-6.1499995,KALI DERES
SO360540,1.080752118,0.328071,106.8217728,-6.2405017,MAMPANG PRAPATAN
SO360555,0.0976145,0.014029999999999999,106.7813709,-6.185503,GROGOL PETAMBURAN
SO360553,0.025688,0.00294,106.6020538,-6.3439824,CISAUK
SO360547,0.1196754,0.0363,106.9414641,-6.3813983,GUNUNG PUTRI
SO360519,0.089185,0.017731999999999998,106.3891285,-6.2414623,CISOKA
SO360518,0.0152152,0.007,106.7282729,-6.2635332,PONDOK AREN
SO360496,0.0516656,0.01425,106.6942864,-6.3709836,GUNUNG SINDUR
SO360492,0.13605484,0.082200000000000009,106.7568391,-6.4133986,SAWANGAN
SO360488,0.26216525,0.065969,106.74458,-6.26515,PONDOK AREN
SO360485,0.081674,0.04833,106.5680785,-6.1580057,PASARKEMIS
SO360482,0.1739015,0.10019,106.800601,-6.257652,KEBAYORAN BARU
